,Model,Fold,label,balanced,metric,on,value
0,MajorityClass,0,Group Size Disparity,False,Accuracy,all,0.51
1,MajorityClass,0,Group Size Disparity,False,F1 Score,all,0.0
2,MajorityClass,1,Group Size Disparity,False,Accuracy,all,0.48
3,MajorityClass,1,Group Size Disparity,False,F1 Score,all,0.0
4,MajorityClass,2,Group Size Disparity,False,Accuracy,all,0.48
5,MajorityClass,2,Group Size Disparity,False,F1 Score,all,0.0
6,MajorityClass,3,Group Size Disparity,False,Accuracy,all,0.52
7,MajorityClass,3,Group Size Disparity,False,F1 Score,all,0.0
8,MajorityClass,4,Group Size Disparity,False,Accuracy,all,0.51
9,MajorityClass,4,Group Size Disparity,False,F1 Score,all,0.0
10,MajorityClass,5,Group Size Disparity,False,Accuracy,all,0.56
11,MajorityClass,5,Group Size Disparity,False,F1 Score,all,0.0
12,MajorityClass,6,Group Size Disparity,False,Accuracy,all,0.56
13,MajorityClass,6,Group Size Disparity,False,F1 Score,all,0.0
14,MajorityClass,7,Group Size Disparity,False,Accuracy,all,0.5
15,MajorityClass,7,Group Size Disparity,False,F1 Score,all,0.0
16,MajorityClass,8,Group Size Disparity,False,Accuracy,all,0.54
17,MajorityClass,8,Group Size Disparity,False,F1 Score,all,0.0
18,MajorityClass,9,Group Size Disparity,False,Accuracy,all,0.42
19,MajorityClass,9,Group Size Disparity,False,F1 Score,all,0.0
20,MajorityClass,0,Prevalence Disparity,False,Accuracy,all,0.54
21,MajorityClass,0,Prevalence Disparity,False,F1 Score,all,0.0
22,MajorityClass,1,Prevalence Disparity,False,Accuracy,all,0.62
23,MajorityClass,1,Prevalence Disparity,False,F1 Score,all,0.0
24,MajorityClass,2,Prevalence Disparity,False,Accuracy,all,0.7
25,MajorityClass,2,Prevalence Disparity,False,F1 Score,all,0.0
26,MajorityClass,3,Prevalence Disparity,False,Accuracy,all,0.61
27,MajorityClass,3,Prevalence Disparity,False,F1 Score,all,0.0
28,MajorityClass,4,Prevalence Disparity,False,Accuracy,all,0.6
29,MajorityClass,4,Prevalence Disparity,False,F1 Score,all,0.0
30,MajorityClass,5,Prevalence Disparity,False,Accuracy,all,0.66
31,MajorityClass,5,Prevalence Disparity,False,F1 Score,all,0.0
32,MajorityClass,6,Prevalence Disparity,False,Accuracy,all,0.56
33,MajorityClass,6,Prevalence Disparity,False,F1 Score,all,0.0
34,MajorityClass,7,Prevalence Disparity,False,Accuracy,all,0.6
35,MajorityClass,7,Prevalence Disparity,False,F1 Score,all,0.0
36,MajorityClass,8,Prevalence Disparity,False,Accuracy,all,0.72
37,MajorityClass,8,Prevalence Disparity,False,F1 Score,all,0.0
38,MajorityClass,9,Prevalence Disparity,False,Accuracy,all,0.57
39,MajorityClass,9,Prevalence Disparity,False,F1 Score,all,0.0
40,MajorityClass,0,equal_opportunity,False,Accuracy,all,0.71
41,MajorityClass,0,equal_opportunity,False,F1 Score,all,0.0
42,MajorityClass,1,equal_opportunity,False,Accuracy,all,0.68
43,MajorityClass,1,equal_opportunity,False,F1 Score,all,0.0
44,MajorityClass,2,equal_opportunity,False,Accuracy,all,0.78
45,MajorityClass,2,equal_opportunity,False,F1 Score,all,0.0
46,MajorityClass,3,equal_opportunity,False,Accuracy,all,0.71
47,MajorityClass,3,equal_opportunity,False,F1 Score,all,0.0
48,MajorityClass,4,equal_opportunity,False,Accuracy,all,0.67
49,MajorityClass,4,equal_opportunity,False,F1 Score,all,0.0
50,MajorityClass,5,equal_opportunity,False,Accuracy,all,0.71
51,MajorityClass,5,equal_opportunity,False,F1 Score,all,0.0
52,MajorityClass,6,equal_opportunity,False,Accuracy,all,0.7
53,MajorityClass,6,equal_opportunity,False,F1 Score,all,0.0
54,MajorityClass,7,equal_opportunity,False,Accuracy,all,0.64
55,MajorityClass,7,equal_opportunity,False,F1 Score,all,0.0
56,MajorityClass,8,equal_opportunity,False,Accuracy,all,0.68
57,MajorityClass,8,equal_opportunity,False,F1 Score,all,0.0
58,MajorityClass,9,equal_opportunity,False,Accuracy,all,0.7
59,MajorityClass,9,equal_opportunity,False,F1 Score,all,0.0
60,MajorityClass,0,disparate_parity,False,Accuracy,all,0.55
61,MajorityClass,0,disparate_parity,False,F1 Score,all,0.0
62,MajorityClass,1,disparate_parity,False,Accuracy,all,0.6
63,MajorityClass,1,disparate_parity,False,F1 Score,all,0.0
64,MajorityClass,2,disparate_parity,False,Accuracy,all,0.68
65,MajorityClass,2,disparate_parity,False,F1 Score,all,0.0
66,MajorityClass,3,disparate_parity,False,Accuracy,all,0.61
67,MajorityClass,3,disparate_parity,False,F1 Score,all,0.0
68,MajorityClass,4,disparate_parity,False,Accuracy,all,0.56
69,MajorityClass,4,disparate_parity,False,F1 Score,all,0.0
70,MajorityClass,5,disparate_parity,False,Accuracy,all,0.66
71,MajorityClass,5,disparate_parity,False,F1 Score,all,0.0
