,Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
0,NaiveMean,0.0,Group Size Disparity,0.2930759786986404,0.1322367497322479,0.3636437126257622,5981813708742.364,0.6399536842158899,0.0560103556820139
1,NaiveMean,1.0,Group Size Disparity,0.3002224956014296,0.1379695922856224,0.371442582757581,2389622156314.4043,0.6581719351236862,0.0585687152733458
2,NaiveMean,2.0,Group Size Disparity,0.2966028775808791,0.1310896960637351,0.3620631106088207,6002940944995.398,0.6713927910546162,0.0580344758440894
3,NaiveMean,3.0,Group Size Disparity,0.2902069418944569,0.1291777356800749,0.3594130432803948,4778362926242.238,0.6273289294336291,0.0546942816429833
4,NaiveMean,4.0,Group Size Disparity,0.2945718328013173,0.1298840053207173,0.3603942359704402,4784663873977.372,0.6450349081511324,0.0559353123279438
5,NaiveMean,5.0,Group Size Disparity,0.2935537210955586,0.128553391019846,0.3585434297541179,7181496141977.986,0.6530851145223863,0.056399775938097
6,NaiveMean,6.0,Group Size Disparity,0.2911479471065166,0.1278696343888682,0.3575886385064103,1199176464964.876,0.650422997343102,0.0559169068133735
7,NaiveMean,7.0,Group Size Disparity,0.2926565704285905,0.1303686869654136,0.3610660423875577,8397744026822.963,0.6548195624015043,0.0568109254560743
8,NaiveMean,8.0,Group Size Disparity,0.3037807525114308,0.1367354704417084,0.3697775959163946,5986800455722.046,0.6764441436517814,0.0593855939592787
9,NaiveMean,9.0,Group Size Disparity,0.290730315481431,0.1285482871557615,0.3585363121857555,1194857967560.9346,0.6374768022122831,0.0554784025655541
10,NaiveMean,0.0,Prevalence Disparity,0.0727294513308554,0.008935361317472,0.0945270401391688,46.36667672063399,0.8982872545174357,0.0067295287693339
11,NaiveMean,1.0,Prevalence Disparity,0.0756312312808678,0.0100300608749889,0.10015019158738,11.935976347940317,0.9022471268271292,0.0074045348127868
12,NaiveMean,2.0,Prevalence Disparity,0.0723905865398233,0.0085590208825566,0.0925149765311362,409932354856.75977,0.9061768016291774,0.0065017387920814
13,NaiveMean,3.0,Prevalence Disparity,0.0740865727167043,0.009271825064828,0.0962903165683239,12.20604309470231,0.9008355551903338,0.0069511691587963
14,NaiveMean,4.0,Prevalence Disparity,0.0706006361094766,0.0084282972827054,0.091805758439792,8.394396759600241,0.8724872501293426,0.0063870488671729
15,NaiveMean,5.0,Prevalence Disparity,0.0740653697968776,0.0093705424297247,0.0968015621244036,613230672508.5112,0.9066583186459846,0.0070142120661177
16,NaiveMean,6.0,Prevalence Disparity,0.0757180269467333,0.0100886639217396,0.10044234127966,83.06463353780413,0.9142828094854708,0.0074496929825814
17,NaiveMean,7.0,Prevalence Disparity,0.0746638768716874,0.0098076311527912,0.0990334850078053,9.41584327915769,0.8911759619924782,0.0072757455763138
18,NaiveMean,8.0,Prevalence Disparity,0.0728895437386791,0.0090493293927541,0.0951279632534734,408883784952.77386,0.8943896752717317,0.0068022301072624
19,NaiveMean,9.0,Prevalence Disparity,0.0738196947303037,0.0091398681197001,0.0956026574928758,33.783864988961284,0.9155083759827528,0.0068721895853317
20,NaiveMean,0.0,equal_opportunity,0.1296483553777253,0.0346842946087135,0.1862371998519993,3802728403616.2217,0.836021816636953,0.0198498592437027
21,NaiveMean,1.0,equal_opportunity,0.1277666969753167,0.0323255489517719,0.1797930725911651,2765745031170.919,0.8356476279141688,0.0188900714958023
22,NaiveMean,2.0,equal_opportunity,0.1211492133488585,0.028218137049239,0.1679825498355084,1047283889632.3268,0.8312161427275087,0.0169024809164448
23,NaiveMean,3.0,equal_opportunity,0.1263188759604692,0.0317464651295309,0.1781753774502271,4164299078198.222,0.8376975435496579,0.0186061377764216
24,NaiveMean,4.0,equal_opportunity,0.1283311891179742,0.0343826811403132,0.1854256755153213,3810467247203.276,0.8371406823911702,0.0196547210884903
25,NaiveMean,5.0,equal_opportunity,0.1239536136106675,0.0306223230332469,0.1749923513564149,1741815848900.649,0.8373602962311587,0.0179156183673565
26,NaiveMean,6.0,equal_opportunity,0.1298920541225424,0.0344785233963938,0.1856839341364616,2772724354581.5723,0.8476515031956772,0.0198349576434713
27,NaiveMean,7.0,equal_opportunity,0.1277963628424717,0.0339918729518083,0.1843688502752249,3121270332859.1816,0.8349295229202162,0.0194325091743189
28,NaiveMean,8.0,equal_opportunity,0.1224849033301764,0.0289672229210833,0.1701975996337295,3484341282619.439,0.8347063922745741,0.0173322167252013
29,NaiveMean,9.0,equal_opportunity,0.1255051601860511,0.0315967759604809,0.1777548197953601,2435880327407.713,0.8429266668209053,0.018413604291378
30,NaiveMean,0.0,disparate_parity,0.1217034392953309,0.0256995579957647,0.1603108168395529,3639808438060.299,0.825173011268127,0.01611334273954
31,NaiveMean,1.0,disparate_parity,0.1256054982449536,0.0277107368961019,0.1664654225240243,2539719805947.1235,0.8326729472020076,0.0170477727416534
32,NaiveMean,2.0,disparate_parity,0.1188350455542417,0.0242420681986335,0.1556986454617814,1093882122110.008,0.8116165591606079,0.0153726713001945
33,NaiveMean,3.0,disparate_parity,0.1229298077129514,0.0261632276307989,0.1617505104498869,2902997309362.186,0.8183636714853691,0.0163272140787785
34,NaiveMean,4.0,disparate_parity,0.1192503299231336,0.0248537290865251,0.1576506552048712,2908243232454.797,0.7997863250375631,0.0155865392327171
35,NaiveMean,5.0,disparate_parity,0.1223435002078522,0.0264706019302712,0.1626978854511367,1455371399644.334,0.8170024345615786,0.0164304052316448
36,NaiveMean,6.0,disparate_parity,0.1256137812281176,0.0286537637438986,0.1692742264607895,2903340705896.816,0.8318856915304103,0.0174186737029748
37,NaiveMean,7.0,disparate_parity,0.1241439163039185,0.0281247385465935,0.1677043188072197,2901012818273.149,0.8141204181326832,0.0171510683727016
38,NaiveMean,8.0,disparate_parity,0.1205152588497788,0.0255837277960155,0.1599491412793938,3275565602550.809,0.8084749336401634,0.0160060917904263
39,NaiveMean,9.0,disparate_parity,0.1222857770784069,0.0260448309264091,0.1613841098944043,2549625713756.9253,0.8257942183627831,0.0162874782752976
40,NaiveMean,0.0,individual_fairness,0.3333580772454933,0.1576367681281565,0.3970349709133397,3.059859558718232,0.8231559778246254,0.0664766771716231
41,NaiveMean,1.0,individual_fairness,0.3322431377918467,0.1555838063569521,0.3944411316748699,3.3318617331001734,0.8298027101119654,0.0664571782244806
42,NaiveMean,2.0,individual_fairness,0.3219869071116203,0.146432044294328,0.3826644016554559,3.1302435679743907,0.8039152681032611,0.062933378180226
43,NaiveMean,3.0,individual_fairness,0.3328127125250687,0.1529778112451651,0.3911237799535655,3.423550089899245,0.8323444314128323,0.0658841871318772
44,NaiveMean,4.0,individual_fairness,0.3344682068318381,0.1577063947886702,0.3971226445176228,3.4131834322581187,0.8304190097291614,0.0668503815408012
45,NaiveMean,5.0,individual_fairness,0.3278106923886958,0.1534406445648389,0.391715004263098,3.132282416600669,0.804534980087227,0.0647533193677256
46,NaiveMean,6.0,individual_fairness,0.3329902314748936,0.1553035107643673,0.3940856642461983,3.3971485856421504,0.831557646595688,0.0663231313655703
47,NaiveMean,7.0,individual_fairness,0.3312013504039063,0.1547918637654317,0.3934359716210907,3.72159683697646,0.8380650116257677,0.0666942833248722
48,NaiveMean,8.0,individual_fairness,0.3224173488778057,0.1488263958938664,0.3857802430061271,2.991921803291767,0.7978468944610533,0.0632628269028008
49,NaiveMean,9.0,individual_fairness,0.3266895107502303,0.1497610582436021,0.3869897391967933,3.242292690060063,0.8136783210413723,0.0641614196085723
50,NaiveMean,0.0,group_fairness,0.3487367537898992,0.1766015986863112,0.4202399299047049,3.124626282906737,0.8227046870585613,0.0713308766193124
51,NaiveMean,1.0,group_fairness,0.3484471700953137,0.1736603413213646,0.4167257387315602,3.791893764047421,0.8311109672689972,0.0713570609129276
52,NaiveMean,2.0,group_fairness,0.3385304129602001,0.1656942463455874,0.4070555813959408,3.158133897765884,0.8057272352070058,0.0680022390074721
53,NaiveMean,3.0,group_fairness,0.3489118994343514,0.1710509124044384,0.4135830175483979,3.633554381425399,0.8322862115282879,0.0708091322989223
