,Model,Fold,label,balanced,metric,on,value
0,NaiveMean,0,Group Size Disparity,True,MAE,all,0.8235213072536779
1,NaiveMean,0,Group Size Disparity,True,MAE,high,0.807257957788128
2,NaiveMean,0,Group Size Disparity,True,MAE,low,0.8397846567192279
3,NaiveMean,0,Group Size Disparity,True,MSE,all,1.0473578104336172
4,NaiveMean,0,Group Size Disparity,True,MSE,high,1.1508446568217614
5,NaiveMean,0,Group Size Disparity,True,MSE,low,0.9438709640454732
6,NaiveMean,0,Group Size Disparity,True,RMSE,all,1.023405008016678
7,NaiveMean,0,Group Size Disparity,True,RMSE,high,1.0727742804624658
8,NaiveMean,0,Group Size Disparity,True,RMSE,low,0.9715302177727018
9,NaiveMean,0,Group Size Disparity,True,MAPE,all,1.305836812231558
10,NaiveMean,0,Group Size Disparity,True,MAPE,high,0.9210713152245433
11,NaiveMean,0,Group Size Disparity,True,MAPE,low,1.690602309238573
12,NaiveMean,0,Group Size Disparity,True,SMAPE,all,1.812123509343801
13,NaiveMean,0,Group Size Disparity,True,SMAPE,high,1.6242470186876021
14,NaiveMean,0,Group Size Disparity,True,SMAPE,low,2.0
15,NaiveMean,1,Group Size Disparity,True,MAE,all,0.8049925603383686
16,NaiveMean,1,Group Size Disparity,True,MAE,high,0.795656402251349
17,NaiveMean,1,Group Size Disparity,True,MAE,low,0.8143287184253882
18,NaiveMean,1,Group Size Disparity,True,MSE,all,0.9712689070443622
19,NaiveMean,1,Group Size Disparity,True,MSE,high,1.0483140445841936
20,NaiveMean,1,Group Size Disparity,True,MSE,low,0.8942237695045308
21,NaiveMean,1,Group Size Disparity,True,RMSE,all,0.9855297595934697
22,NaiveMean,1,Group Size Disparity,True,RMSE,high,1.0238720840926339
23,NaiveMean,1,Group Size Disparity,True,RMSE,low,0.9456340568658316
24,NaiveMean,1,Group Size Disparity,True,MAPE,all,1.0374276642183522
25,NaiveMean,1,Group Size Disparity,True,MAPE,high,0.9652978380123247
26,NaiveMean,1,Group Size Disparity,True,MAPE,low,1.10955749042438
27,NaiveMean,1,Group Size Disparity,True,SMAPE,all,1.9081326509726
28,NaiveMean,1,Group Size Disparity,True,SMAPE,high,1.8162653019452
29,NaiveMean,1,Group Size Disparity,True,SMAPE,low,2.0
30,NaiveMean,2,Group Size Disparity,True,MAE,all,0.8116724545909566
31,NaiveMean,2,Group Size Disparity,True,MAE,high,0.8044053682251867
32,NaiveMean,2,Group Size Disparity,True,MAE,low,0.8189395409567264
33,NaiveMean,2,Group Size Disparity,True,MSE,all,1.0035938759147578
34,NaiveMean,2,Group Size Disparity,True,MSE,high,1.1055717605203654
35,NaiveMean,2,Group Size Disparity,True,MSE,low,0.9016159913091502
36,NaiveMean,2,Group Size Disparity,True,RMSE,all,1.0017953263590111
37,NaiveMean,2,Group Size Disparity,True,RMSE,high,1.0514617256564147
38,NaiveMean,2,Group Size Disparity,True,RMSE,low,0.9495346182784228
39,NaiveMean,2,Group Size Disparity,True,MAPE,all,1.1901237078693598
40,NaiveMean,2,Group Size Disparity,True,MAPE,high,0.9183533837430763
41,NaiveMean,2,Group Size Disparity,True,MAPE,low,1.4618940319956433
42,NaiveMean,2,Group Size Disparity,True,SMAPE,all,1.839925021418452
43,NaiveMean,2,Group Size Disparity,True,SMAPE,high,1.6798500428369039
44,NaiveMean,2,Group Size Disparity,True,SMAPE,low,2.0
45,NaiveMean,3,Group Size Disparity,True,MAE,all,0.8184582946545379
46,NaiveMean,3,Group Size Disparity,True,MAE,high,0.8017725374208217
47,NaiveMean,3,Group Size Disparity,True,MAE,low,0.8351440518882541
48,NaiveMean,3,Group Size Disparity,True,MSE,all,1.0042473268905037
49,NaiveMean,3,Group Size Disparity,True,MSE,high,1.0738895883435888
50,NaiveMean,3,Group Size Disparity,True,MSE,low,0.9346050654374183
51,NaiveMean,3,Group Size Disparity,True,RMSE,all,1.002121413248167
52,NaiveMean,3,Group Size Disparity,True,RMSE,high,1.0362864412620618
53,NaiveMean,3,Group Size Disparity,True,RMSE,low,0.9667497429207924
54,NaiveMean,3,Group Size Disparity,True,MAPE,all,1.1411024345430631
55,NaiveMean,3,Group Size Disparity,True,MAPE,high,1.1093051857911878
56,NaiveMean,3,Group Size Disparity,True,MAPE,low,1.1728996832949383
57,NaiveMean,3,Group Size Disparity,True,SMAPE,all,1.8887594057001806
58,NaiveMean,3,Group Size Disparity,True,SMAPE,high,1.7775188114003613
59,NaiveMean,3,Group Size Disparity,True,SMAPE,low,2.0
60,NaiveMean,4,Group Size Disparity,True,MAE,all,0.8119858355100116
61,NaiveMean,4,Group Size Disparity,True,MAE,high,0.823709560573869
62,NaiveMean,4,Group Size Disparity,True,MAE,low,0.8002621104461544
63,NaiveMean,4,Group Size Disparity,True,MSE,all,0.9852529777530568
64,NaiveMean,4,Group Size Disparity,True,MSE,high,1.1060632111224813
65,NaiveMean,4,Group Size Disparity,True,MSE,low,0.8644427443836321
66,NaiveMean,4,Group Size Disparity,True,RMSE,all,0.992599102232647
67,NaiveMean,4,Group Size Disparity,True,RMSE,high,1.0516953984507498
68,NaiveMean,4,Group Size Disparity,True,RMSE,low,0.9297541311463112
69,NaiveMean,4,Group Size Disparity,True,MAPE,all,1.1562937653752132
70,NaiveMean,4,Group Size Disparity,True,MAPE,high,0.9647256679583184
71,NaiveMean,4,Group Size Disparity,True,MAPE,low,1.3478618627921082
72,NaiveMean,4,Group Size Disparity,True,SMAPE,all,1.940043945348044
73,NaiveMean,4,Group Size Disparity,True,SMAPE,high,1.8800878906960876
74,NaiveMean,4,Group Size Disparity,True,SMAPE,low,2.0
75,NaiveMean,5,Group Size Disparity,True,MAE,all,0.8366330879413684
76,NaiveMean,5,Group Size Disparity,True,MAE,high,0.8410806704203043
77,NaiveMean,5,Group Size Disparity,True,MAE,low,0.8321855054624325
78,NaiveMean,5,Group Size Disparity,True,MSE,all,1.0568011283538417
79,NaiveMean,5,Group Size Disparity,True,MSE,high,1.1725806608075917
80,NaiveMean,5,Group Size Disparity,True,MSE,low,0.9410215959000914
81,NaiveMean,5,Group Size Disparity,True,RMSE,all,1.028008330877645
82,NaiveMean,5,Group Size Disparity,True,RMSE,high,1.082857636445157
83,NaiveMean,5,Group Size Disparity,True,RMSE,low,0.9700626762741114
84,NaiveMean,5,Group Size Disparity,True,MAPE,all,1.4124177213829188
85,NaiveMean,5,Group Size Disparity,True,MAPE,high,1.2416985144638386
86,NaiveMean,5,Group Size Disparity,True,MAPE,low,1.5831369283019987
87,NaiveMean,5,Group Size Disparity,True,SMAPE,all,1.7998321106280553
88,NaiveMean,5,Group Size Disparity,True,SMAPE,high,1.5996642212561105
89,NaiveMean,5,Group Size Disparity,True,SMAPE,low,2.0
90,NaiveMean,6,Group Size Disparity,True,MAE,all,0.8034011347792317
91,NaiveMean,6,Group Size Disparity,True,MAE,high,0.8037838233029029
92,NaiveMean,6,Group Size Disparity,True,MAE,low,0.8030184462555605
93,NaiveMean,6,Group Size Disparity,True,MSE,all,0.9715803747003203
94,NaiveMean,6,Group Size Disparity,True,MSE,high,1.0738848207645484
95,NaiveMean,6,Group Size Disparity,True,MSE,low,0.8692759286360924
96,NaiveMean,6,Group Size Disparity,True,RMSE,all,0.9856877673484238
97,NaiveMean,6,Group Size Disparity,True,RMSE,high,1.0362841409403833
98,NaiveMean,6,Group Size Disparity,True,RMSE,low,0.9323496815230283
99,NaiveMean,6,Group Size Disparity,True,MAPE,all,1.0305878016225305
100,NaiveMean,6,Group Size Disparity,True,MAPE,high,0.9649699583137485
101,NaiveMean,6,Group Size Disparity,True,MAPE,low,1.0962056449313125
102,NaiveMean,6,Group Size Disparity,True,SMAPE,all,1.8732611027755461
103,NaiveMean,6,Group Size Disparity,True,SMAPE,high,1.7465222055510923
104,NaiveMean,6,Group Size Disparity,True,SMAPE,low,2.0
105,NaiveMean,7,Group Size Disparity,True,MAE,all,0.8133196461286017
106,NaiveMean,7,Group Size Disparity,True,MAE,high,0.8196115516421483
107,NaiveMean,7,Group Size Disparity,True,MAE,low,0.8070277406150554
108,NaiveMean,7,Group Size Disparity,True,MSE,all,1.000436041510515
109,NaiveMean,7,Group Size Disparity,True,MSE,high,1.119057768661531
110,NaiveMean,7,Group Size Disparity,True,MSE,low,0.8818143143594986
111,NaiveMean,7,Group Size Disparity,True,RMSE,all,1.0002179969939127
112,NaiveMean,7,Group Size Disparity,True,RMSE,high,1.0578552682959663
113,NaiveMean,7,Group Size Disparity,True,RMSE,low,0.9390496868427669
114,NaiveMean,7,Group Size Disparity,True,MAPE,all,1.0332183205025167
115,NaiveMean,7,Group Size Disparity,True,MAPE,high,0.9526865987420206
116,NaiveMean,7,Group Size Disparity,True,MAPE,low,1.1137500422630127
117,NaiveMean,7,Group Size Disparity,True,SMAPE,all,1.910600048686903
118,NaiveMean,7,Group Size Disparity,True,SMAPE,high,1.8212000973738058
119,NaiveMean,7,Group Size Disparity,True,SMAPE,low,2.0
120,NaiveMean,8,Group Size Disparity,True,MAE,all,0.8335280240912132
121,NaiveMean,8,Group Size Disparity,True,MAE,high,0.8244774190257645
122,NaiveMean,8,Group Size Disparity,True,MAE,low,0.8425786291566617
123,NaiveMean,8,Group Size Disparity,True,MSE,all,1.04349738965388
124,NaiveMean,8,Group Size Disparity,True,MSE,high,1.1463603190595093
125,NaiveMean,8,Group Size Disparity,True,MSE,low,0.9406344602482509
126,NaiveMean,8,Group Size Disparity,True,RMSE,all,1.0215171998815682
127,NaiveMean,8,Group Size Disparity,True,RMSE,high,1.070682174624902
128,NaiveMean,8,Group Size Disparity,True,RMSE,low,0.9698631141806822
129,NaiveMean,8,Group Size Disparity,True,MAPE,all,1.5677191550161664
130,NaiveMean,8,Group Size Disparity,True,MAPE,high,0.9445619032697615
131,NaiveMean,8,Group Size Disparity,True,MAPE,low,2.1908764067625714
132,NaiveMean,8,Group Size Disparity,True,SMAPE,all,1.856279474621685
133,NaiveMean,8,Group Size Disparity,True,SMAPE,high,1.71255894924337
134,NaiveMean,8,Group Size Disparity,True,SMAPE,low,2.0
135,NaiveMean,9,Group Size Disparity,True,MAE,all,0.81085439696811
136,NaiveMean,9,Group Size Disparity,True,MAE,high,0.8056376603656802
137,NaiveMean,9,Group Size Disparity,True,MAE,low,0.8160711335705397
138,NaiveMean,9,Group Size Disparity,True,MSE,all,0.9954328578484072
139,NaiveMean,9,Group Size Disparity,True,MSE,high,1.0931393663569096
140,NaiveMean,9,Group Size Disparity,True,MSE,low,0.8977263493399049
141,NaiveMean,9,Group Size Disparity,True,RMSE,all,0.9977138156046589
142,NaiveMean,9,Group Size Disparity,True,RMSE,high,1.0455330536893177
143,NaiveMean,9,Group Size Disparity,True,RMSE,low,0.9474842211561652
144,NaiveMean,9,Group Size Disparity,True,MAPE,all,1.7253378130754762
145,NaiveMean,9,Group Size Disparity,True,MAPE,high,1.2171991135029343
146,NaiveMean,9,Group Size Disparity,True,MAPE,low,2.233476512648018
147,NaiveMean,9,Group Size Disparity,True,SMAPE,all,1.8609727264447993
148,NaiveMean,9,Group Size Disparity,True,SMAPE,high,1.7219454528895985
149,NaiveMean,9,Group Size Disparity,True,SMAPE,low,2.0
150,NaiveMean,0,Group Size Disparity,False,MAE,all,0.8172471621563439
151,NaiveMean,0,Group Size Disparity,False,MAE,high,0.8606858825834517
152,NaiveMean,0,Group Size Disparity,False,MAE,low,0.7747536957840298
153,NaiveMean,0,Group Size Disparity,False,MSE,all,1.0075995515478307
154,NaiveMean,0,Group Size Disparity,False,MSE,high,1.1838572591162415
155,NaiveMean,0,Group Size Disparity,False,MSE,low,0.8351773232736883
156,NaiveMean,0,Group Size Disparity,False,RMSE,all,1.0037925839274917
157,NaiveMean,0,Group Size Disparity,False,RMSE,high,1.0880520479812725
158,NaiveMean,0,Group Size Disparity,False,RMSE,low,0.9138803659526166
159,NaiveMean,0,Group Size Disparity,False,MAPE,all,1.0262863147434536
160,NaiveMean,0,Group Size Disparity,False,MAPE,high,1.066681281317345
161,NaiveMean,0,Group Size Disparity,False,MAPE,low,0.9867703682137025
162,NaiveMean,0,Group Size Disparity,False,SMAPE,all,1.9152550370283663
163,NaiveMean,0,Group Size Disparity,False,SMAPE,high,2.0
164,NaiveMean,0,Group Size Disparity,False,SMAPE,low,1.8323541780976584
165,NaiveMean,1,Group Size Disparity,False,MAE,all,0.8128531651142411
166,NaiveMean,1,Group Size Disparity,False,MAE,high,0.8465894326776763
167,NaiveMean,1,Group Size Disparity,False,MAE,low,0.7811456546690725
168,NaiveMean,1,Group Size Disparity,False,MSE,all,0.9934050923400716
169,NaiveMean,1,Group Size Disparity,False,MSE,high,1.145878841355226
170,NaiveMean,1,Group Size Disparity,False,MSE,low,0.8501004727516287
171,NaiveMean,1,Group Size Disparity,False,RMSE,all,0.9966970915679806
172,NaiveMean,1,Group Size Disparity,False,RMSE,high,1.070457304779236
173,NaiveMean,1,Group Size Disparity,False,RMSE,low,0.9220089331192126
174,NaiveMean,1,Group Size Disparity,False,MAPE,all,1.103895402619122
175,NaiveMean,1,Group Size Disparity,False,MAPE,high,1.2224648960260274
176,NaiveMean,1,Group Size Disparity,False,MAPE,low,0.9924561794267922
177,NaiveMean,1,Group Size Disparity,False,SMAPE,all,1.9088982923004696
178,NaiveMean,1,Group Size Disparity,False,SMAPE,high,2.0
179,NaiveMean,1,Group Size Disparity,False,SMAPE,low,1.8232750578088648
180,NaiveMean,2,Group Size Disparity,False,MAE,all,0.7994561260310215
181,NaiveMean,2,Group Size Disparity,False,MAE,high,0.7967101062087917
182,NaiveMean,2,Group Size Disparity,False,MAE,low,0.8020525572248028
