Fold,Model,Chain,label,RMSE
0,CLUS (3),,disparate_parity,0.15289045786197786
0,CLUS (3),,equal_opportunity,0.18446988397622346
0,CLUS (3),,group_fairness,0.080947874
0,CLUS (3),,all,0.13943607208865458
1,CLUS (3),,disparate_parity,0.15254655452448507
1,CLUS (3),,equal_opportunity,0.1711775499403266
1,CLUS (3),,group_fairness,0.082379352
1,CLUS (3),,all,0.13536781871577622
2,CLUS (3),,disparate_parity,0.14461210444568293
2,CLUS (3),,equal_opportunity,0.17065438269756925
2,CLUS (3),,group_fairness,0.08105304
2,CLUS (3),,all,0.1321065091948994
3,CLUS (3),,disparate_parity,0.14964405863258579
3,CLUS (3),,equal_opportunity,0.17995756051328074
3,CLUS (3),,group_fairness,0.08167801
3,CLUS (3),,all,0.13709320977751707
4,CLUS (3),,disparate_parity,0.14278821420762908
4,CLUS (3),,equal_opportunity,0.17760947929605975
4,CLUS (3),,group_fairness,0.085238591
4,CLUS (3),,all,0.13521209489160063
5,CLUS (3),,disparate_parity,0.1470538812834353
5,CLUS (3),,equal_opportunity,0.17275638071327945
5,CLUS (3),,group_fairness,0.081288955
5,CLUS (3),,all,0.13369973905157148
6,CLUS (3),,disparate_parity,0.1475691927510636
6,CLUS (3),,equal_opportunity,0.17777212064717215
6,CLUS (3),,group_fairness,0.075232184
6,CLUS (3),,all,0.13352449900417362
7,CLUS (3),,disparate_parity,0.1442416957853275
7,CLUS (3),,equal_opportunity,0.17439435529390251
7,CLUS (3),,group_fairness,0.079705463
7,CLUS (3),,all,0.13278050469415406
8,CLUS (3),,disparate_parity,0.14485584993146028
8,CLUS (3),,equal_opportunity,0.1678446486855336
8,CLUS (3),,group_fairness,0.079049696
8,CLUS (3),,all,0.1305833981508225
9,CLUS (3),,disparate_parity,0.14804078696555423
9,CLUS (3),,equal_opportunity,0.17360715438775853
9,CLUS (3),,group_fairness,0.079194277
9,CLUS (3),,all,0.1336140726748037
0,CLUS (5),,disparate_parity,0.1512520449615836
0,CLUS (5),,equal_opportunity,0.18145257603960874
0,CLUS (5),,group_fairness,0.078050243
0,CLUS (5),,all,0.13691828796149386
1,CLUS (5),,disparate_parity,0.1493686786180245
1,CLUS (5),,equal_opportunity,0.16912208686080835
1,CLUS (5),,group_fairness,0.078500226
1,CLUS (5),,all,0.13233033056498758
2,CLUS (5),,disparate_parity,0.1412513266577164
2,CLUS (5),,equal_opportunity,0.16745453680072045
2,CLUS (5),,group_fairness,0.078337486
2,CLUS (5),,all,0.12901444994591202
3,CLUS (5),,disparate_parity,0.14874370541045567
3,CLUS (5),,equal_opportunity,0.1776321903127515
3,CLUS (5),,group_fairness,0.07978197
3,CLUS (5),,all,0.1353859550817101
4,CLUS (5),,disparate_parity,0.13908485305288354
4,CLUS (5),,equal_opportunity,0.17450602347332803
4,CLUS (5),,group_fairness,0.082516673
4,CLUS (5),,all,0.13203584978202493
5,CLUS (5),,disparate_parity,0.14335957139095937
5,CLUS (5),,equal_opportunity,0.1690601650425902
5,CLUS (5),,group_fairness,0.077760968
5,CLUS (5),,all,0.13006023479309672
6,CLUS (5),,disparate_parity,0.1452739262866317
6,CLUS (5),,equal_opportunity,0.17433034555159163
6,CLUS (5),,group_fairness,0.07457228
6,CLUS (5),,all,0.13139218410006895
7,CLUS (5),,disparate_parity,0.1401408581180537
7,CLUS (5),,equal_opportunity,0.17069144450577703
7,CLUS (5),,group_fairness,0.074703495
7,CLUS (5),,all,0.12851193248197731
8,CLUS (5),,disparate_parity,0.1409432168234901
8,CLUS (5),,equal_opportunity,0.1673128619438862
8,CLUS (5),,group_fairness,0.075891146
8,CLUS (5),,all,0.12804907487402165
9,CLUS (5),,disparate_parity,0.1448981197773315
9,CLUS (5),,equal_opportunity,0.16904677074766283
9,CLUS (5),,group_fairness,0.077377801
9,CLUS (5),,all,0.130440897
0,CLUS (10),,disparate_parity,0.1498707460604988
0,CLUS (10),,equal_opportunity,0.17898672704000468
0,CLUS (10),,group_fairness,0.074765027
0,CLUS (10),,all,0.1345408332958714
