,target_order,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
0,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",Group Size Disparity,0.2944166518366568,0.1309305341526366,0.3618130545328279,4761721894133.382,0.6513924104909603,0.056592328777513044
1,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",Prevalence Disparity,0.06110620459440019,0.00639267421934069,0.07990525188382372,124251575345.99939,0.8153073312434358,0.004785680987887829
2,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",equal_opportunity,0.11650049358905075,0.027774778233460983,0.16656116590024855,2657582776511.4175,0.7864951267992819,0.016001393328666052
3,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",disparate_parity,0.10140669037831847,0.01846723814409686,0.1358187281153905,1819872168915.1516,0.7295663238700111,0.01139139095123687
4,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",individual_fairness,0.14738932457898737,0.03649796542887222,0.1876430995357759,1.3457030693923797,0.4969726881936558,0.01427043466429916
5,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity']",Group Size Disparity,0.2944559300970265,0.13093448070633742,0.36181921036406933,4757134858606.486,0.6514486407493372,0.05659559610495489
6,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity']",Prevalence Disparity,0.061162002544369785,0.0063953361181425805,0.07992444550653235,125898370315.19736,0.8157059670118049,0.004783198255295821
7,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity']",equal_opportunity,0.11657418768876875,0.02783915164629915,0.166744936329523,2657062773565.12,0.7869596352838505,0.01602927044391663
8,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity']",disparate_parity,0.10133487516107605,0.0184219932846048,0.13564950941883216,1833503600176.5593,0.7296249260988901,0.01135322588041798
9,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity']",individual_fairness,0.1479104335132378,0.03582417451303598,0.18785246703499206,1.361942157271449,0.5031620865390759,0.01396504612408422
10,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'equal_opportunity', 'individual_fairness']",Group Size Disparity,0.29445593009769383,0.13093448070545405,0.3618192103628393,4757134859151.255,0.6514486407506486,0.05659559610459217
11,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'equal_opportunity', 'individual_fairness']",Prevalence Disparity,0.061162002416955276,0.006395336083667019,0.07992444529106157,125898370374.58472,0.8157059689325534,0.0047831982241328405
12,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'equal_opportunity', 'individual_fairness']",equal_opportunity,0.11659548645996268,0.027850628555276008,0.1667787465968028,2658333847097.003,0.7870500349237816,0.01603672689634397
13,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'equal_opportunity', 'individual_fairness']",disparate_parity,0.10136282628436147,0.01842795499548991,0.13567247076847133,1833282003882.1235,0.7297006502342707,0.0113566098444421
14,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'equal_opportunity', 'individual_fairness']",individual_fairness,0.14790313484247883,0.035823682451734826,0.1878512604147761,1.3619413920370742,0.5031397600514591,0.013964432652222908
15,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness', 'equal_opportunity']",Group Size Disparity,0.2944559300973697,0.1309344807057557,0.3618192103632356,4757134860775.561,0.6514486407509075,0.05659559610468336
16,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness', 'equal_opportunity']",Prevalence Disparity,0.06116200245739682,0.0063953360991163,0.07992444538897969,125898370278.904,0.8157059688585211,0.00478319823661322
17,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness', 'equal_opportunity']",equal_opportunity,0.1165831845071914,0.02784992070947882,0.16677714195399726,2658635519873.206,0.7869827853410397,0.016035034972271066
18,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness', 'equal_opportunity']",disparate_parity,0.10136844603882436,0.018428532153561,0.13567467069829847,1835692786257.6147,0.7297116663004557,0.0113571708925367
19,"['Group Size Disparity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness', 'equal_opportunity']",individual_fairness,0.14790606639034826,0.035824287067965026,0.1878529469703501,1.361937328619161,0.5031460428919063,0.013964747580261361
20,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'equal_opportunity', 'disparate_parity']",Group Size Disparity,0.2944559300970164,0.13093448070309818,0.3618192103595996,4757134859353.01,0.6514486407517489,0.05659559610365304
21,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'equal_opportunity', 'disparate_parity']",Prevalence Disparity,0.061161997659295045,0.006395335051608629,0.07992443861261272,125898370361.04272,0.8157059485777189,0.00478319767198445
22,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.11658245685634834,0.027844658019842712,0.1667611889451805,2656519616498.3057,0.7869870557680168,0.01603138477642817
23,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'equal_opportunity', 'disparate_parity']",disparate_parity,0.10134452550816012,0.01842866505063377,0.13567389752938092,1832400833976.1875,0.7296543209796598,0.011356425077973952
24,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'equal_opportunity', 'disparate_parity']",individual_fairness,0.14791012546194643,0.03582409536302097,0.18785225335532113,1.3619300285350446,0.5031617164233633,0.013965017090465198
25,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity', 'equal_opportunity']",Group Size Disparity,0.2944559300971744,0.13093448070446106,0.3618192103614684,4757134860816.538,0.6514486407489237,0.05659559610440842
26,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity', 'equal_opportunity']",Prevalence Disparity,0.0611619976569896,0.0063953350510691205,0.07992443860912322,125898370335.57602,0.8157059485654088,0.004783197671640401
27,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity', 'equal_opportunity']",equal_opportunity,0.11655864073108976,0.02783774726157761,0.16674005266342345,2659380410227.189,0.7868934985226472,0.016028404799416068
28,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity', 'equal_opportunity']",disparate_parity,0.10137453599896873,0.01843052912457237,0.13568162331919517,1836159198512.1602,0.7297340231352755,0.01135853057503072
29,"['Group Size Disparity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity', 'equal_opportunity']",individual_fairness,0.14791043354049913,0.035824174518899146,0.18785246704403866,1.3619421576075694,0.5031620866364932,0.013965046129924368
30,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness']",Group Size Disparity,0.294455930103305,0.13093448070533792,0.3618192103626532,4757134858609.723,0.6514486407599158,0.05659559610500238
31,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness']",Prevalence Disparity,0.06116143706143702,0.006396211728780429,0.0799297978902622,125976383677.75558,0.8157052523474464,0.00478370719160341
32,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness']",equal_opportunity,0.11652553230353184,0.027831147286209456,0.16671949601210173,2659195618819.577,0.78681877697891,0.01602112957328177
33,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness']",disparate_parity,0.10129399960268866,0.01842092909652008,0.13564367975444477,1831093809057.9407,0.7294949544643031,0.01135014211550282
34,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'disparate_parity', 'individual_fairness']",individual_fairness,0.14790612473953937,0.035822643722305744,0.1878482232674354,1.3618933477417166,0.5031502602923779,0.013964297117299648
35,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity']",Group Size Disparity,0.29445593009563886,0.13093448070371758,0.36181921036042525,4757134859312.4795,0.6514486407464232,0.056595596104007495
36,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity']",Prevalence Disparity,0.06116041626061462,0.0063961168910838,0.0799292206221647,125976383721.59346,0.8156921999463705,0.00478360464860363
37,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity']",equal_opportunity,0.1165254945971064,0.027831142679316172,0.16671948276316556,2659195646964.108,0.7868185208957443,0.016021125892984288
38,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity']",disparate_parity,0.10132059580016536,0.01843752399985868,0.13570182292955005,1828554662678.9102,0.7295647623649367,0.01135946752991995
39,"['Group Size Disparity', 'equal_opportunity', 'Prevalence Disparity', 'individual_fairness', 'disparate_parity']",individual_fairness,0.14790706745946164,0.03582353904723612,0.1878507668449499,1.361884642580387,0.5031547512852266,0.013964597304482929
40,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'Prevalence Disparity', 'individual_fairness']",Group Size Disparity,0.29445593009759763,0.13093448070167693,0.36181921035763603,4757134858362.799,0.6514486407523964,0.05659559610317638
41,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'Prevalence Disparity', 'individual_fairness']",Prevalence Disparity,0.0610552297380612,0.0063883350371456895,0.07987935152461775,126203889140.53079,0.8144312946529377,0.004777250888388711
42,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'Prevalence Disparity', 'individual_fairness']",equal_opportunity,0.11652271081090096,0.027830249429857568,0.16671680378443884,2657868022973.6455,0.7868096368680482,0.016020550006085942
43,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'Prevalence Disparity', 'individual_fairness']",disparate_parity,0.10157665018523065,0.01846311988738223,0.13580147291390407,1875057122905.765,0.7307715642216727,0.01138306959788456
44,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'Prevalence Disparity', 'individual_fairness']",individual_fairness,0.14790219454607048,0.03582097619571116,0.18784370712700355,1.3618310098967163,0.5031492438664774,0.013963830078126679
45,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness', 'Prevalence Disparity']",Group Size Disparity,0.2944559300933615,0.13093448070102098,0.36181921035668196,4757134858658.905,0.6514486407466846,0.056595596102701554
46,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness', 'Prevalence Disparity']",Prevalence Disparity,0.06104487006890065,0.006385182097658079,0.07985952255382223,126562632397.36304,0.8144302705708988,0.004775109166714181
47,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness', 'Prevalence Disparity']",equal_opportunity,0.1165227108220227,0.027830249436573716,0.16671680380484616,2657868022835.5796,0.7868096368893318,0.01602055001005597
48,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness', 'Prevalence Disparity']",disparate_parity,0.1015772844696606,0.018465906781618448,0.1358107904770044,1875769455199.9617,0.7307659875182975,0.011384473607510512
49,"['Group Size Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness', 'Prevalence Disparity']",individual_fairness,0.1479030401756733,0.035821296954842305,0.1878445989522042,1.3618921708697924,0.5031507642215913,0.01396406942748796
50,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'Prevalence Disparity', 'disparate_parity']",Group Size Disparity,0.29445593009952964,0.13093448070545857,0.36181921036279513,4757134859055.424,0.651448640752556,0.056595596104912625
51,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'Prevalence Disparity', 'disparate_parity']",Prevalence Disparity,0.06117415724673599,0.00639755586058974,0.07993858918816624,125997903754.51773,0.8157874207737656,0.00478465445411499
52,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'Prevalence Disparity', 'disparate_parity']",equal_opportunity,0.11652549499246648,0.02783114274267734,0.1667194829468907,2659195763611.415,0.7868185221609938,0.016021125961287554
53,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'Prevalence Disparity', 'disparate_parity']",disparate_parity,0.10125784577704977,0.018403343403420563,0.13558034676441683,1826060438521.2168,0.7293975334439133,0.01134014685904157
54,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'Prevalence Disparity', 'disparate_parity']",individual_fairness,0.14791387969211725,0.035824212873941594,0.18785259164227078,1.3619803263904051,0.5031737287231673,0.013965202478106712
55,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity', 'Prevalence Disparity']",Group Size Disparity,0.29445593010361304,0.13093448070804153,0.3618192103664513,4757134858981.299,0.6514486407589923,0.05659559610599128
56,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity', 'Prevalence Disparity']",Prevalence Disparity,0.061086036339945214,0.00639246580443791,0.07990369764649767,125907862472.27737,0.8147032909570608,0.00478043588993808
57,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity', 'Prevalence Disparity']",equal_opportunity,0.11652672014218572,0.02783124285398874,0.16671979882702292,2659249799771.276,0.7868305400174563,0.01602116551050402
58,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity', 'Prevalence Disparity']",disparate_parity,0.1015775268814099,0.01846889983415301,0.13582162555484079,1875780065508.2188,0.7307836860013482,0.01138586605420684
59,"['Group Size Disparity', 'equal_opportunity', 'individual_fairness', 'disparate_parity', 'Prevalence Disparity']",individual_fairness,0.14791387964746622,0.03582421285337055,0.18785259158771922,1.3619803261232974,0.5031737286315149,0.013965202469920997
60,"['Group Size Disparity', 'disparate_parity', 'Prevalence Disparity', 'equal_opportunity', 'individual_fairness']",Group Size Disparity,0.2944559300908068,0.1309344807001856,0.36181921035555564,4757134858382.277,0.6514486407391817,0.056595596102685206
