,target_order,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
0,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",0,Group Size Disparity,0.2927427143902349,0.1319431229297547,0.3632397595662605,5970874563839.257,0.6397640674230108,0.055871350227661
1,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",0,Prevalence Disparity,0.061927976494811,0.0065197754477998,0.0807451264646967,37.23652467487526,0.8268914594567259,0.0048943721817715
2,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",0,equal_opportunity,0.1194839487978767,0.0302409190546407,0.1738991634673403,3210948388403.923,0.7838151312886018,0.0170675100980954
3,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",0,disparate_parity,0.1035351967863792,0.0190706812449211,0.1380966373411067,2364085748045.393,0.7471911932394302,0.0118555807484437
4,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",0,individual_fairness,0.1431022120360311,0.0343014412622323,0.1852064827759341,1.1887249505772552,0.4881805264136729,0.012814577438191
5,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",1,Group Size Disparity,0.3005081200474375,0.1380228071773646,0.3715142085807279,2449113986958.977,0.6587196665999309,0.0586499969689143
6,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",1,Prevalence Disparity,0.0599809691819048,0.0063214724837444,0.0795076882052577,8.660091200522304,0.796883333281868,0.0046937060769524
7,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",1,equal_opportunity,0.1154837905487711,0.0269446559804235,0.1641482743754058,2528468948334.723,0.7702232621800245,0.0156364009940019
8,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",1,disparate_parity,0.0998218890902598,0.0179086218038423,0.133823098917348,1581830149531.4963,0.7210877508646039,0.0110427322664982
9,"['Group Size Disparity', 'Prevalence Disparity', 'equal_opportunity', 'disparate_parity', 'individual_fairness']",1,individual_fairness,0.1060181152467896,0.0205933187685407,0.1435037238838795,0.8316438685789304,0.3978808938031827,0.0073185623476824
