,Chain_Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
0,LightGBM(DEG),0,disparate_parity,0.0972659135388661,0.0179518610127379,0.1339845551275889,1493165911357.0537,0.7055741154733645,0.0112230576211164
1,LightGBM(DEG),0,equal_opportunity,0.1139521585933522,0.0284935779139619,0.1688004085124261,2696814666928.912,0.7436290918339461,0.0162109831909184
2,LightGBM(DEG),0,group_fairness,0.0766424938106439,0.0153056894090182,0.1237161647038019,0.2216400186569481,0.191024838801895,0.0044254856731526
3,LightGBM(DGE),0,disparate_parity,0.0972659134692203,0.0179518609951312,0.1339845550618848,1493165903924.451,0.7055741149448209,0.0112230576112843
4,LightGBM(DGE),0,equal_opportunity,0.1142445725277861,0.0286693089125886,0.1693201373510801,2751891319889.362,0.7445870348301176,0.0163241244335778
5,LightGBM(DGE),0,group_fairness,0.0779180742792269,0.0158508195957257,0.1259000381085157,0.2242925763443236,0.193099708955561,0.0045637632316063
6,LightGBM(EDG),0,disparate_parity,0.0963911411852769,0.0179800650897732,0.1340897650448135,1418402767889.8052,0.6987772796693795,0.0112247479578503
7,LightGBM(EDG),0,equal_opportunity,0.1102866613807002,0.0276533437924384,0.1662929457085853,2274289568299.3774,0.7210749916288458,0.0157763026481014
8,LightGBM(EDG),0,group_fairness,0.0613515570915331,0.0095366613300463,0.0976558310089385,0.1811793144994085,0.163641350805313,0.0028927488118463
9,LightGBM(EGD),0,disparate_parity,0.0961828496206711,0.0179363820169929,0.1339267785657257,1403918821473.934,0.6981838793174132,0.0111926583494372
10,LightGBM(EGD),0,equal_opportunity,0.1102866613767394,0.0276533437958241,0.1662929457187651,2274289566089.96,0.721074991258124,0.0157763026427846
11,LightGBM(EGD),0,group_fairness,0.0616823956686473,0.0096606580901202,0.0982886468017553,0.1805004162766164,0.163221573300651,0.0029073003509595
12,LightGBM(GDE),0,disparate_parity,0.1050076813752989,0.0226536813081466,0.1505113992631343,342044160959.4504,0.73190223351435,0.0141627823621538
13,LightGBM(GDE),0,equal_opportunity,0.1168905476473749,0.0327975350519982,0.181100897435651,726498605320.0819,0.7575060481204641,0.0189214459217162
14,LightGBM(GDE),0,group_fairness,0.0367960088767059,0.0055880307221376,0.0747531318550446,0.0958570114125243,0.0944469574361095,0.0014623956062934
15,LightGBM(GED),0,disparate_parity,0.1039592542492125,0.0218314234481962,0.1477546055058734,450885783521.8156,0.7307997549622985,0.0136980942091339
16,LightGBM(GED),0,equal_opportunity,0.1146467648569641,0.032313349208575,0.1797591422113908,550093250512.2559,0.7351995306056018,0.0187033147112165
17,LightGBM(GED),0,group_fairness,0.0367960093536558,0.0055880307626404,0.0747531321259548,0.0958570167264117,0.0944469615056722,0.0014623956192847
18,AverageEnsemble(2),0,disparate_parity,0.0961041231087509,0.0178884078735335,0.1337475527758677,1411160794681.8674,0.6982952167105638,0.0111616832892573
19,AverageEnsemble(2),0,equal_opportunity,0.1102866613787198,0.0276533437941313,0.1662929457136752,2274289567194.6685,0.7210749914434849,0.015776302645443
20,AverageEnsemble(2),0,group_fairness,0.0612926814180507,0.0095264694433494,0.0976036343757213,0.1801506951723204,0.1628303986006826,0.0028755563740634
21,EnsembleTree(2),0,disparate_parity,0.1022869388902747,0.0199146671681672,0.1411193366203487,2112348485350.2693,0.7392383169772426,0.0124768100358656
22,EnsembleTree(2),0,equal_opportunity,0.1195177642805574,0.0322641926116024,0.1796223611124251,2740404694721.497,0.7635341551427466,0.0183584039958486
23,EnsembleTree(2),0,group_fairness,0.0790874623237408,0.0133007467895542,0.115328863644598,0.4779351302478924,0.2949264670927884,0.0044925657972567
24,AverageEnsemble(3),0,disparate_parity,0.0962232794576531,0.0178031576032511,0.1334284737349982,1438495833573.5933,0.6992872051424976,0.011113988079897
25,AverageEnsemble(3),0,equal_opportunity,0.1110397853195977,0.0276039713108981,0.1661444290697046,2415131267106.081,0.7282763824088205,0.0157217877438099
26,AverageEnsemble(3),0,group_fairness,0.0658652000492574,0.0109949300551678,0.1048567120177236,0.1914776286046159,0.1701549904334302,0.0032715194060296
27,EnsembleTree(3),0,disparate_parity,0.1032308542494249,0.0201399479172924,0.1419152842976839,2228422293681.7417,0.7437856748227712,0.0125860683080024
28,EnsembleTree(3),0,equal_opportunity,0.1193598031657389,0.0334223463135239,0.1828177953961919,2847819276620.523,0.7599968539417913,0.0188550089037486
29,EnsembleTree(3),0,group_fairness,0.0754265716700045,0.0127678910571756,0.1129950930668037,0.3907950610716171,0.2647438659298385,0.004154284313578
30,AverageEnsemble(4),0,disparate_parity,0.0960940897538607,0.0180159880470989,0.1342236493584457,1178725924502.1123,0.6945323721255209,0.011231299797959
31,AverageEnsemble(4),0,equal_opportunity,0.1094219236339661,0.027436238329128,0.1656388792799806,1943161774068.096,0.7150533167149248,0.0156555328144891
