,Model,Case,Group Size Disparity,Prevalence Disparity,equal_opportunity,disparate_parity,individual_fairness,group_fairness
0,Indepedent Predictor,Adult,0.5219865952406293,0.0541747639433424,0.3307601747394911,0.1816847515965159,0.3996709089664759,0.3322845879350958
1,Best Regressor Chain,Adult,0.4743517197398077,0.0639377026687935,0.3307601729597999,0.1505224829659509,0.5229330488362541,0.5431339903603435
2,Ensemble chain Model,Adult,0.5202714595108827,0.061731529746401,0.2985434136883186,0.13188945613439,0.4488116365222923,0.4688300008986448
3,Stratified Predictor,Adult,0.5353101051293904,0.0567064387309275,0.2281317646995935,0.1293887186137684,0.4206751631245996,0.5320827165360398
4,Expert Knowledge,Adult,0.811889224245355,0.0844289539582899,0.0493265562798152,0.1137468269138274,0.3788365437795506,0.3994801317108184
5,Indepedent Predictor,OULAD,0.5210003142138324,0.0575514941061975,0.2271546340971638,0.1586563228260457,0.5529988524298294,0.6279731824568959
6,Best Regressor Chain,OULAD,0.5530436430358567,0.0588066057760767,0.2271546249878626,0.1067229133029068,0.5504572292088097,0.577803689431926
7,Ensemble chain Model,OULAD,0.4946421087741424,0.0578340709688344,0.2037053950391829,0.1195563798266388,0.5476952356467492,0.577803689431926
8,Stratified Predictor,OULAD,0.5560134634430867,0.0548851377964587,0.1345246207486119,0.1384224513339607,0.6089640714966701,0.6516880370559759
9,Expert Knowledge,OULAD,0.8516860977105529,0.0655476782649392,0.0570488034927802,0.1272122261466823,0.4275169422023323,0.4504913792869641
10,Indepedent Predictor,Material,0.6672688572200691,0.1558715800481969,0.3891908072419688,0.2406380076382917,0.0545031134873664,0.0608457114831119
11,Best Regressor Chain,Material,0.6635311787409663,0.0989957675042108,0.3891907843048228,0.254176433445073,0.0417173078901989,0.0486352747880318
12,Ensemble chain Model,Material,0.6723715284925303,0.1201887728452694,0.3554529816238136,0.1812849168092299,0.0477401594580058,0.0515040812922309
13,Stratified Predictor,Material,0.5761423314845383,0.1477751433591984,0.3425456907835792,0.1731713917059223,-0.0232097052777823,0.056080355837379
14,Expert Knowledge,Material,0.6029468278755525,0.072515154838581,0.9647783251231526,0.1345856093414803,0.0320722797788803,0.0321498490307013
15,Indepedent Predictor,COMPAS,0.5704608173855608,0.1271544759486197,0.2038976969441355,0.2883984399152512,0.0985716450265087,-0.1394790568919607
16,Best Regressor Chain,COMPAS,0.6451333270251879,0.1299686201208975,0.2038976942789127,0.276888784685403,0.0759184395551475,0.0828001400486535
17,Ensemble chain Model,COMPAS,0.6399790150724433,0.1485640847923771,0.2142975676854234,0.2858157767866823,0.0939780877561398,0.0998886069051313
18,Stratified Predictor,COMPAS,0.5888030338285813,0.1342924290821465,0.2802962333683254,0.2708426379562677,0.2501350673326712,0.1111553828697294
19,Expert Knowledge,COMPAS,0.8023747268357432,0.0664288238597973,0.0143739846614259,0.0918859029635404,0.0127031171523491,0.015452546009665
20,Indepedent Predictor,Diabetes,0.5521163771593267,0.05412429697482221,0.47033575777403624,0.11183914602339835,0.29427207070007444,0.41444104522776015
21,Best Regressor Chain,Diabetes,0.428154959987899,0.039693302304114435,0.4703357579879549,0.08305830457370482,0.3532638333659604,0.371928218118425
22,Ensemble chain Model,Diabetes,0.5233696977871112,0.06539981184355478,0.3849831489171771,0.10927959299010562,0.3180518189494463,0.33080937714303843
23,Stratified Predictor,Diabetes,0.5476881377295021,0.05381189962816873,0.3156140033254543,0.1038468113450055,0.4295580809547064,0.40766474894812815
24,Expert Knowledge,Diabetes,0.9163695815553897,0.02189581326215781,0.038839340666668457,0.028343260402730497,0.2193828299365918,0.34891020035744846
25,Indepedent Predictor,Germen,0.544730574445367,0.05559114287868455,0.15888277551800276,0.11122508472742515,0.11604700663080278,0.35951757116720334
26,Best Regressor Chain,Germen,0.4494285818695788,0.05668872716358083,0.15888274498891686,0.15049887749321048,0.10356651187857926,0.11136283308905011
27,Ensemble chain Model,Germen,0.536147004094385,0.05861317610478515,0.16649527488189778,0.11383060870945856,0.08740891848475667,0.09509044277253385
28,Stratified Predictor,Germen,0.5677909940987678,0.05431520270693844,0.15334777902387833,0.11136439997430597,0.039197949012304945,0.08757409019552348
29,Expert Knowledge,Germen,1.848714959099969,0.04144794625825132,0.43679044288966057,0.4455198157725606,0.082384486889755,0.16081053154165176
