,Model,Case,Group Size Disparity,Prevalence Disparity,equal_opportunity,disparate_parity,individual_fairness,group_fairness
0,Indepedent Predictor,Adult,-0.0266767255824496,-0.3792576311961023,0.9854582932102356,0.1245829446875633,-0.1205908545550433,-0.3269534580504174
1,Best Regressor Chain,Adult,-0.1581718045592169,-0.2778415867086199,0.9854582832765252,-0.0673780057522944,0.1942885520319643,0.1820191768202471
2,Ensemble chain Model,Adult,-0.0314113219442058,-0.3007590030252019,0.8056338479033557,-0.1821582735999811,0.0049416337530158,0.0026556269940592
3,Stratified Predictor,Adult,0.0101025452070827,-0.3529589469468365,0.4126168185865789,-0.1975629271234507,-0.066934418831147,0.1553423359455037
4,Expert Knowledge,Adult,0.7735934272363902,-0.0649813290730578,-0.5854210465791851,-0.2939176705150443,-0.1738133002598377,-0.1647490952506615
5,Indepedent Predictor,OULAD,-0.0293993337586734,-0.3441806296857283,0.4071627641490393,-0.017273193141253,0.2710931767456691,0.3868138152920808
6,Best Regressor Chain,OULAD,0.0590556062370853,-0.3311427048837012,0.4071627133036105,-0.337185288432865,0.2646004709363433,0.2657088998342469
7,Ensemble chain Model,OULAD,-0.1021606093899726,-0.3412452606868831,0.2762760372129567,-0.2581305681062007,0.2575448178806884,0.2657088998342469
8,Stratified Predictor,OULAD,0.0672537334472378,-0.3718783667843956,-0.1098706130645905,-0.1419147347679403,0.414059175777456,0.4440594697356482
9,Expert Knowledge,OULAD,0.8834518652886605,-0.2611173849826766,-0.542317743320725,-0.2109702168031645,-0.049456746138852,-0.0416122554577412
10,Indepedent Predictor,Material,0.3743719244256804,0.677154696727079,1.3116008269677013,0.4877376044289849,-1.002339546637061,-0.9821839617416908
11,Best Regressor Chain,Material,0.3640541410446594,0.086336696386096,1.311600698939326,0.5711349050600503,-1.03500153744321,-1.0116589238052884
12,Ensemble chain Model,Material,0.3884577419052118,0.3064866771382208,1.1232862484783093,0.1221199447469539,-1.019615856733495,-1.0047338673973436
13,Stratified Predictor,Material,0.1228190532889567,0.5930500427358583,1.0512415630404084,0.0721402719345278,-1.200860895388799,-0.9936871274666416
14,Expert Knowledge,Material,0.1968123057707041,-0.188740211056975,4.524360358074597,-0.1655498508211311,-1.0596402523918187,-1.051453348110797
15,Indepedent Predictor,COMPAS,0.1071353522758244,0.3788454285021266,0.2773494096520617,0.7819439756657444,-0.8897642410739277,-1.465751019636788
16,Best Regressor Chain,COMPAS,0.3132672556180896,0.4080783652843579,0.2773493947755747,0.7110439913497858,-0.9476330068089016,-0.9291878269385816
17,Ensemble chain Model,COMPAS,0.2990388851191395,0.601245456200524,0.335398416637737,0.7660346567806681,-0.9014987167932792,-0.8879377123933195
18,Stratified Predictor,COMPAS,0.1577686576938758,0.4529934891318796,0.703783476469509,0.6737994605878219,-0.5025877688296578,-0.8607406675677737
19,Expert Knowledge,COMPAS,0.7473288558452131,-0.2519641675590008,-0.7805159784794578,-0.4285819271113866,-1.1091197636218906,-1.0917592262214248
20,Indepedent Predictor,Diabetes,0.056495908150655465,-0.37978187501945543,1.764527975531948,-0.30566906901571533,-0.38983754849810076,-0.1286347146301634
21,Best Regressor Chain,Diabetes,-0.28569699504582197,-0.52968903296441,1.764527976725979,-0.48296032289198576,-0.23914008988364008,-0.23125708576688306
22,Ensemble chain Model,Diabetes,-0.022858699888660065,-0.26265340072455945,1.288114920886245,-0.3214360286936824,-0.32909097192997394,-0.33051449220648677
23,Stratified Predictor,Diabetes,0.044271845687370956,-0.3830270150430621,0.9009168376391465,-0.35490220346064855,-0.044242553364101406,-0.14499212106545714
24,Expert Knowledge,Diabetes,1.062009271542878,-0.7145668644455393,-0.6439575868431897,-0.8200074104110636,-0.5811459236104385,-0.2868206349851812
25,Indepedent Predictor,Germen,0.03610755400953452,-0.3645444845547816,0.02608941293390843,-0.30945171370698565,-0.8451225408919674,-0.2612153384655234
26,Best Regressor Chain,Germen,-0.22697160613606981,-0.35314293223574267,0.02608924252956739,-0.06752341650645255,-0.8770045996136816,-0.860239900273593
27,Ensemble chain Model,Germen,0.012412787321510943,-0.3331520253045875,0.06858013611173018,-0.2934015709553631,-0.9182799938677157,-0.8995200750323402
28,Stratified Predictor,Germen,0.09976536085126822,-0.37779877292635894,-0.00480530279342652,-0.3085935256360512,-1.041437367855444,-0.917663914814358
29,Expert Knowledge,Germen,3.6357292144392104,-0.5114620365326347,1.5772879351024978,1.749818587156777,-0.9311151599677249,-0.7408773359019278
