,Model,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
0,NaiveMean,disparate_parity,0.1223226354398685,0.0263546982751012,0.1622885732373061,2616956714805.6445,0.8184890210381294,0.0163741257465929
1,NaiveMean,equal_opportunity,0.1262846424872253,0.0321013845142582,0.1790611430441412,2914655579618.952,0.8375298194661991,0.0186832176722588
2,NaiveMean,individual_fairness,0.3295978175401398,0.1532460298045379,0.3914393551048162,3.2843940714521267,0.8205320250992953,0.065379678281855
3,NaiveMean,group_fairness,0.3454545997992509,0.1716227901343734,0.4142452975876901,4.08359062670904,0.8207179053811924,0.0702519274290455
4,LinearRegression,disparate_parity,0.1100512601819071,0.0220398725349853,0.1484218465472619,1603059140102.3735,0.7828695945524704,0.0134447375296847
5,LinearRegression,equal_opportunity,0.1216119916304531,0.0299569348383877,0.1729766956184921,2357674793931.5034,0.8086913522433076,0.017378164713178
6,LinearRegression,individual_fairness,0.2476507532261216,0.1008854211812162,0.3175984988668759,1.93927009091684,0.6876979760741293,0.0405742673296053
7,LinearRegression,group_fairness,0.2614149890984895,0.1143315773660618,0.3381015273513654,2.330636409587433,0.691045875341907,0.043906071755243
8,Lasso,disparate_parity,0.1222688385504255,0.026339284074376,0.1622415010275734,2616068122747.225,0.8183063428116085,0.0163641932573323
9,Lasso,equal_opportunity,0.1262793471050921,0.032100493043347,0.1790585861046972,2914322741106.5234,0.8375029771229261,0.0186823113796393
10,Lasso,individual_fairness,0.3295350253908251,0.1532156478581423,0.3914004436179242,3.283672154903232,0.8202349839211506,0.065363631742756
11,Lasso,group_fairness,0.3453892474175142,0.1715886245928727,0.4142039071398699,4.082887901223025,0.8204308924407924,0.0702341617861639
12,LightGBM,individual_fairness,0.0022106513842048,1.90563419319674e-05,0.0042884233845598,0.0151607400700378,0.015049806753759,9.06718752544016e-06
13,LightGBM,group_fairness,8024105.812444759,1.515176051368486e+16,38925262.44647632,732973640.8441601,0.2918177637785195,24.866466091061096
14,RandomForest,individual_fairness,0.0064075594684154,0.0001985159102992,0.0139363724219518,0.0158076638921088,0.0153418614153658,6.447477736643882e-05
15,RandomForest,group_fairness,0.0366892667746849,0.0053857351341937,0.073361482168091,0.1332799566572048,0.0923284634535506,0.0014141561275337
16,MLP,individual_fairness,0.3285146015745436,0.1534666994932666,0.3917235081870879,3.23508554247776,0.8201083814166339,0.06518367881552
17,MLP,group_fairness,0.3438328283422143,0.1721709095027969,0.4149095325348028,3.994968148927305,0.8199903248541794,0.0700308936420542
18,XGBoost,individual_fairness,0.0004662195678458044,7.006734657568404e-06,0.0015041684653532288,0.0032280721035360914,0.0031495402122153466,3.6794864297501712e-06
19,XGBoost,group_fairness,0.03647909847102219,0.005403531520519953,0.07348006645641766,0.13831425667964356,0.0975274500454479,0.0014189123881852843
